"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16119","UI Setup: authenticate via UI","ui-setup","2026-08-14","failed","2026-08-14","","setup/ui-auth.setup.ts","",""
"","0","UPEX-100: should get current user with valid token","smoke","2026-08-14","skipped","2026-08-14","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","0","BK-6: should reject workspace switch given the user has no active membership","smoke","2026-08-14","skipped","2026-08-14","BK-6: Workspace Switch API","integration/workspace/switchActiveWorkspace.test.ts","",""
"","0","UPEX-200: should load dashboard with authenticated session","smoke","2026-08-14","skipped","2026-08-14","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","2","Global Setup: prepare environment","global-setup","2026-08-14","passed","2026-08-14","","setup/global.setup.ts","",""
"","0","UPEX-100: should be able to re-authenticate","smoke","2026-08-14","skipped","2026-08-14","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","1","UPEX-200: should access user info via API with session token","smoke","2026-08-14","skipped","2026-08-14","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","0","UPEX-100: should fail without token","smoke","2026-08-14","skipped","2026-08-14","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","1014","API Setup: authenticate via API","api-setup","2026-08-14","passed","2026-08-14","","setup/api-auth.setup.ts","",""
"","0","BK-6: should reject workspace switch given the user has a suspended membership","smoke","2026-08-14","skipped","2026-08-14","BK-6: Workspace Switch API","integration/workspace/switchActiveWorkspace.test.ts","",""
"","3","Global Teardown: generate reports and sync TMS","global-teardown","2026-08-14","passed","2026-08-14","","teardown/global.teardown.ts","",""
"","0","BK-6: should update active workspace context when switching to a workspace given the user is an active member","smoke","2026-08-14","skipped","2026-08-14","BK-6: Workspace Switch API","integration/workspace/switchActiveWorkspace.test.ts","",""
